Run_Id,Time,Nsec,Time2,Date,Year,Mon,Day,Hour,Min,Sec,Dur,Dur_Day,Dur_Hour,Dur_Min,Dur_Sec,Size,IPV6_Flag,IP,SSL_Flag,Sha1,User_Id,User_Login,User_Name,User_Inv,User_Ban,User_Lock,Prob,Variant,Lang,Content_Type,Stat_Short,Status,Score,Score_Adj,Test,Import_Flag,Hidden_Flag,RO_Flag,Locale_Id,Pages,Judge_Id,
0,1576082925,486725000,20191211194845,20191211,2019,12,11,19,48,45,0,0,0,0,0,284,0,95.143.216.192,0,69be0e94905abb93f496da6e82e03c5b0f1f4fc2,9755,Yozh4,,I,,,D-DPQE,1,gcc-vg,,CE,Compilation error,-1,0,0,1,0,1,0,0,0,0
1,1576082925,676020000,20191211194845,20191211,2019,12,11,19,48,45,0,0,0,0,0,229,0,95.143.216.192,0,0ebbc95dd197fbe2028fd32c1fad0c0bbbedebd0,9755,Yozh4,,I,,,D-DPQE,2,gcc-vg,,CE,Compilation error,-1,0,0,1,0,1,0,0,0,0
2,1576082925,861667000,20191211194845,20191211,2019,12,11,19,48,45,0,0,0,0,0,428,0,95.143.216.192,0,8ad1dabc291bde3b5b826185b3ad98b1ac8cc8aa,9755,Yozh4,,I,,,D-DPQE,3,gcc-vg,,CE,Compilation error,-1,0,0,1,0,1,0,0,0,0
3,1576082926,34037000,20191211194846,20191211,2019,12,11,19,48,46,0,0,0,0,0,332,0,95.143.216.192,0,3b0c7e02c232c3f44e3b77680d5b376f77afb9ef,9755,Yozh4,,I,,,D-DPQE,4,gcc-vg,,PT,Partial solution,1,0,1,1,0,1,0,0,0,0
4,1576082926,240328000,20191211194846,20191211,2019,12,11,19,48,46,0,0,0,0,0,252,0,95.143.216.192,0,3effea4b8adf53429c39e8d188ddd9ace7691f2c,9755,Yozh4,,I,,,D-DPQE,5,gcc-vg,,CF,Check failed,-1,0,0,1,0,1,0,0,0,0
5,1576082926,490011000,20191211194846,20191211,2019,12,11,19,48,46,0,0,0,0,0,370,0,95.143.216.192,0,6293fe553b1acede5fef1f5271e982c579c2500e,9755,Yozh4,,I,,,D-DPQE,6,gcc-vg,,CF,Check failed,-1,0,0,1,0,1,0,0,0,0
6,1576082926,716041000,20191211194846,20191211,2019,12,11,19,48,46,0,0,0,0,0,327,0,95.143.216.192,0,d7ad04e8952506666bad4aa4a94af92aa5ed4d2d,9755,Yozh4,,I,,,D-DPQE,7,gcc-vg,,CF,Check failed,-1,0,0,1,0,1,0,0,0,0
7,1576083161,762785000,20191211195241,20191211,2019,12,11,19,52,41,0,0,0,0,0,284,0,95.143.216.192,0,69be0e94905abb93f496da6e82e03c5b0f1f4fc2,9755,Yozh4,,I,,,D-DPQE,1,gcc-vg,,CE,Compilation error,-1,0,0,1,0,1,0,0,0,0
8,1576083161,939713000,20191211195241,20191211,2019,12,11,19,52,41,0,0,0,0,0,229,0,95.143.216.192,0,0ebbc95dd197fbe2028fd32c1fad0c0bbbedebd0,9755,Yozh4,,I,,,D-DPQE,2,gcc-vg,,CE,Compilation error,-1,0,0,1,0,1,0,0,0,0
9,1576083162,95898000,20191211195242,20191211,2019,12,11,19,52,42,0,0,0,0,0,428,0,95.143.216.192,0,8ad1dabc291bde3b5b826185b3ad98b1ac8cc8aa,9755,Yozh4,,I,,,D-DPQE,3,gcc-vg,,CE,Compilation error,-1,0,0,1,0,1,0,0,0,0
10,1576083162,261439000,20191211195242,20191211,2019,12,11,19,52,42,0,0,0,0,0,332,0,95.143.216.192,0,3b0c7e02c232c3f44e3b77680d5b376f77afb9ef,9755,Yozh4,,I,,,D-DPQE,4,gcc-vg,,PT,Partial solution,1,0,1,1,0,1,0,0,0,0
11,1576083162,466064000,20191211195242,20191211,2019,12,11,19,52,42,0,0,0,0,0,252,0,95.143.216.192,0,3effea4b8adf53429c39e8d188ddd9ace7691f2c,9755,Yozh4,,I,,,D-DPQE,5,gcc-vg,,CF,Check failed,-1,0,0,1,0,1,0,0,0,0
